x,y
1063.0,921.0
574.0,951.0
946.0,948.0
1003.0,927.0
1418.0,944.0
707.0,927.0
857.0,931.0
615.0,1017.0
1626.0,851.0
985.0,875.0
778.0,924.0
792.0,920.0
677.0,951.0
1569.0,937.0
1517.0,892.0
1209.0,927.0
757.0,924.0
1103.0,880.0
903.0,942.0
1570.0,911.0
1099.0,943.0
946.0,927.0
814.0,917.0
727.0,928.0
847.0,920.0
1111.0,934.0
994.0,873.0
927.0,924.0
886.0,919.0
1278.0,941.0
1460.0,933.0
902.0,915.0
1464.0,894.0
1436.0,933.0
1355.0,922.0
1608.0,847.0
1505.0,861.0
1029.0,913.0
1138.0,822.0
1521.0,864.0
816.0,788.0
1276.0,881.0
1002.0,838.0
1084.0,909.0
1125.0,920.0
1016.0,919.0
1041.0,923.0
1021.0,822.0
1010.0,959.0
1390.0,873.0
1593.0,868.0
1243.0,943.0
1287.0,792.0
1252.0,865.0
1149.0,869.0
1600.0,934.0
1568.0,877.0
1554.0,833.0
1261.0,940.0
1194.0,937.0
1312.0,943.0
1638.0,848.0
1547.0,929.0
1387.0,908.0
1378.0,878.0
1297.0,914.0
1066.0,911.0
1180.0,818.0
832.0,922.0
970.0,920.0
1403.0,905.0
1416.0,866.0
1158.0,784.0
1337.0,927.0
1564.0,833.0
1313.0,799.0
1248.0,825.0
1153.0,913.0
1343.0,890.0
1407.0,793.0
988.0,926.0
1576.0,821.0
1004.0,818.0
1080.0,843.0
978.0,828.0
1251.0,893.0
1279.0,796.0
1365.0,890.0
1126.0,965.0
1176.0,900.0
1584.0,841.0
1168.0,890.0
1115.0,790.0
923.0,908.0
1531.0,844.0
1544.0,869.0
1218.0,909.0
1081.0,872.0
1211.0,807.0
1223.0,940.0
1405.0,842.0
1124.0,833.0
1424.0,893.0
1464.0,879.0
851.0,769.0
1265.0,840.0
1422.0,916.0
1126.0,955.0
1468.0,860.0
1347.0,836.0
952.0,810.0
1451.0,915.0
1453.0,899.0
678.0,935.0
1258.0,869.0
1208.0,772.0
1333.0,788.0
1225.0,860.0
1230.0,885.0
1479.0,826.0
964.0,799.0
1013.0,800.0
1110.0,861.0
1602.0,832.0
1143.0,806.0
1273.0,813.0
1470.0,829.0
1013.0,775.0
1494.0,880.0
1090.0,864.0
1358.0,794.0
1485.0,853.0
1433.0,876.0
1496.0,821.0
959.0,842.0
1286.0,928.0
1178.0,876.0
1297.0,883.0
1268.0,905.0
1214.0,844.0
738.0,928.0
1580.0,874.0
1050.0,826.0
1311.0,869.0
1207.0,886.0
1435.0,834.0
1307.0,830.0
1506.0,881.0
1261.0,813.0
1055.0,879.0
1249.0,922.0
1054.0,796.0
1199.0,815.0
1377.0,846.0
1139.0,790.0
1401.0,821.0
1527.0,831.0
1161.0,832.0
1141.0,925.0
1203.0,831.0
988.0,807.0
1500.0,843.0
1244.0,853.0
1376.0,831.0
1433.0,816.0
1315.0,912.0
1032.0,806.0
933.0,815.0
1067.0,799.0
1436.0,852.0
1387.0,796.0
1399.0,860.0
1100.0,907.0
1312.0,852.0
1335.0,849.0
704.0,1061.0
1199.0,905.0
1175.0,846.0
1421.0,798.0
1143.0,814.0
1211.0,799.0
1208.0,860.0
1108.0,840.0
1174.0,856.0
1065.0,825.0
1191.0,866.0
1113.0,915.0
1194.0,871.0
1155.0,940.0
1192.0,789.0
1043.0,771.0
1100.0,820.0
1459.0,831.0
1546.0,845.0
1346.0,877.0
1079.0,760.0
1535.0,839.0
1268.0,826.0
1444.0,837.0
1223.0,827.0
1170.0,934.0
1149.0,825.0
1047.0,883.0
1496.0,826.0
1159.0,801.0
1096.0,821.0
1161.0,775.0
1282.0,919.0
1585.0,867.0
1156.0,773.0
1272.0,857.0
1238.0,894.0
914.0,919.0
1493.0,855.0
1372.0,922.0
1180.0,849.0
1217.0,814.0
1150.0,931.0
1118.0,820.0
1219.0,820.0
1146.0,791.0
1171.0,869.0
1352.0,833.0
994.0,862.0
1207.0,792.0
1323.0,919.0
1564.0,850.0
1346.0,791.0
1409.0,839.0
1458.0,861.0
1328.0,853.0
1111.0,819.0
1304.0,881.0
1436.0,842.0
1379.0,854.0
1581.0,850.0
1317.0,895.0
959.0,824.0
1325.0,795.0
1364.0,912.0
1024.0,799.0
1402.0,790.0
